Target	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"Gene71"	27.908472	30.947958	28.925398	29.973288	27.94394	27.91903
"Gene48"	31.98604	30.973898	29.976418	31.956873	31.739725	31.894642
"Gene49"	28.979872	30.97648	27.950384	26.9729	29.882826	26.894073
"Gene50"	40	36.974937	34.811234	32.754402	30.982435	40
"Gene51"	30.087513	40	40	40	40	40
"Gene52"	29.95938	40	34.966	34.978848	31.969105	31.969707
"Gene53"	24.676554	34.99797	28.868195	25.768631	25.892134	27.840656
"Gene54"	32.949173	32.95109	30.958364	32.952164	31.90892	33.93418
"Gene55"	26.575134	27.609486	26.514427	26.70124	27.73681	26.59075
"Gene56"	27.961891	29.9647	28.920008	27.77237	27.82103	29.94957
"Gene57"	29.538498	32.88253	31.980244	30.668928	30.967817	30.351307
"Gene58"	34.949593	35.96381	31.790314	40	32.39456	40
"Gene59"	26.837944	31.929283	28.929197	29.758986	28.927792	25.937614
"Gene60"	19.944515	22.01713	21.974333	20.965405	20.954056	19.944689
"Gene61"	30.94117	31.963123	27.852825	40	31.899324	33.90506
"Gene62"	23.881989	35.97183	32.21134	27.948784	26.973707	19.878428
"Gene63"	23.954403	30.664116	29.423235	33.971954	35.529648	34.94543
"Gene64"	30.013186	36.969296	29.834484	30.980669	32.496826	29.717354
"Gene65"	26.970201	27.93736	26.943445	26.822912	27.870378	28.95895
"Gene66"	25.918453	28.910784	27.93206	25.900429	26.966835	27.937029
"Gene67"	33.98634	40	32.978333	36.9823	40	27.96211
"Gene68"	35.9645	40	40	32.467506	31.240177	35.675156
"Gene69"	27.750628	27.800034	26.722923	28.699608	27.697662	27.736109
"Gene70"	26.945726	29.907976	28.820204	31.640663	36.953026	27.904726
"Gene71"	27.957638	30.77299	28.95586	29.907045	27.975819	27.968397
"Gene72"	40	40	37.1348	40	40	6.4510255
"Gene73"	31.964924	40	35.980457	35.98039	30.99189	35.969414
"Gene74"	36.974136	27.939009	30.95025	33.94137	26.960783	35.958614
"Gene75"	35.971973	28.975193	29.979433	29.977888	31.972052	33.985313
"Gene76"	33.375217	40	36.0311	30.989527	30.500635	33.456917
"Gene77"	29.965485	40	36.945972	27.99423	27.961596	29.954351
"Gene78"	29.919933	40	34.97221	30.973518	31.891518	32.05722
"Gene79"	23.953218	29.943949	28.928955	28.952753	26.96114	25.882568
"Gene80"	24.808838	30.804256	26.96616	25.942318	28.948624	25.87356
"Gene81"	22.964537	29.986794	23.899387	23.91396	25.980314	23.904243
"Gene82"	36.953445	25.877972	26.964651	40	14.200463	37.02806
"Gene83"	28.988638	29.963114	28.884886	29.963156	31.966331	30.843777
"Gene84"	40	21.673946	35.203953	40	21.799593	40
"Gene85"	29.966608	40	32.93808	30.956232	32.953106	35.961338
"Gene86"	34.976994	20.389658	29.962914	36.933502	40	30.965702
"Gene87"	27.970644	29.970116	26.981148	27.962746	30.987726	26.964773
"Gene88"	32.647728	36.94094	36.95556	35.372738	36.21311	25.571304
"Gene89"	34.951813	35.98485	33.955475	34.92193	40	35.20004
"Gene90"	25.054277	35.947697	29.94751	40	27.212883	40
"Gene91"	33.939877	35.97724	27.925217	32.981018	28.94578	36.94326
"Gene92"	36.817528	30.982208	27.985043	40	40	40
"Gene93"	40	40	40	8.304854	40	19.551746
"Gene94"	40	40	40	40	40	40
"Gene95"	34.417892	15.91616	40	37.005913	40	40
"Gene72"	40	40	19.557562	40	40	40
"Gene73"	31.779049	23.11949	35.344078	35.565094	30.794897	35.38652
"Gene74"	35.474724	27.88308	30.755085	33.54162	26.838383	35.491234
"Gene75"	36.857395	28.739418	29.939676	29.902157	31.680347	35.958828
"Gene76"	33.97677	40	32.242382	30.92612	30.988405	35.9586
"Gene77"	30.2	40	40	27.91401	27.959904	29.964636
"Gene78"	29.976364	33.189335	34.7055	30.899305	31.966919	31.9571
"Gene79"	23.975058	29.748072	28.98099	28.962671	26.970057	25.949984
"Gene80"	24.952394	30.952938	26.934881	25.943531	28.787544	25.929008
"Gene81"	22.958918	29.958466	23.948175	23.983171	25.888474	23.951164
"Gene82"	36.68666	25.956549	26.982023	40	40	40
"Gene83"	28.9601	29.921976	28.97662	30.030073	31.982498	30.98661
"Gene84"	40	40	34.99841	40	40	40
"Gene85"	29.907501	40	32.655396	30.950878	32.73049	35.96024
"Gene86"	34.388542	40	29.66777	40	36.93752	30.891893
"Gene87"	27.921373	29.863049	26.932777	27.778736	30.793596	26.917583
"Gene88"	32.970966	40	40	36.95414	35.935036	30.419495
"Gene89"	34.64174	35.815567	33.32431	35.973137	40	34.951263
"Gene90"	12.402942	40	29.872963	40	7.0148063	26.029642
"Gene91"	33.621216	35.942272	28.055403	32.96722	28.95334	36.729553
"Gene92"	35.938828	30.975494	27.946918	40	40	40
"Gene93"	7.2175946	40	40	6.852666	40	5.132685
"Gene94"	40	40	40	40	40	40
"Gene95"	35.92011	40	40	35.57754	40	40
"Gene96"	25.932137	36.776104	35.936966	24.975039	34.640892	40
"Gene97"	28.94963	27.931723	27.992817	27.822662	27.958803	26.956556
"Gene98"	28.936153	30.104298	28.952253	28.773836	28.918646	28.944857
"Gene99"	27.952265	31.847994	30.853607	30.737366	30.7198	30.974482
"Gene100"	27.935303	31.90753	30.910545	29.95238	30.95327	28.902748
"Gene101"	27.835152	34.92731	28.930033	27.942194	27.967045	29.7842
"Gene102"	28.97077	30.955976	28.942646	28.94512	28.993351	30.91965
"Gene103"	40	30.927824	29.889044	18.712679	32.41114	26.830667
"Gene104"	27.737255	26.732979	25.799906	26.933353	25.750282	25.75239
"Gene105"	27.789972	29.981989	30.9658	29.709866	28.821455	28.903114
"Gene106"	28.006565	29.942318	27.95842	27.987293	27.968565	28.94555
"Gene107"	25.981642	30.983288	29.822332	26.96982	27.91411	29.957684
"Gene108"	26.95723	31.927345	27.948658	29.92742	35.92749	27.682
"Gene109"	36.989216	36.969757	25.973589	34.82498	31.680601	40
"Gene110"	40	40	34.34154	36.965187	40	40
"Gene111"	33.960835	40	31.901474	32.980545	29.960707	35.802387
"Gene112"	24.836208	25.93359	25.838688	24.997004	24.016825	25.388662
"Gene113"	26.95674	27.890177	26.934137	26.824299	26.982843	26.811201
"Gene114"	26.928698	34.94833	27.91354	28.947609	29.65552	27.933815
"Gene115"	25.969233	27.95442	26.903578	26.962894	25.938808	27.948742
"Gene116"	24.988157	26.987104	25.972898	24.964188	25.990082	23.94962
"Gene117"	29.923527	26.884783	27.897743	40	29.935808	30.035809
"Gene118"	25.701813	34.873173	34.71342	26.809599	30.899132	28.781786
"Gene119"	29.66161	35.533634	27.980274	40	32.954536	40
"Gene96"	25.879595	36.93976	34.38326	24.99657	34.931564	40
"Gene97"	28.968369	27.808065	27.981602	27.940424	27.961706	26.895731
"Gene98"	28.926601	29.950842	28.806091	28.968506	28.936548	28.871212
"Gene99"	27.958345	31.954193	30.958036	30.96248	30.945498	30.969328
"Gene100"	27.930338	31.946999	30.940386	29.954576	30.76187	28.945854
"Gene101"	27.943405	34.508076	28.93403	27.865294	27.975945	29.953432
"Gene102"	28.856125	30.570225	28.868233	28.78088	28.972359	30.941307
"Gene103"	40	30.93008	29.928791	39.421925	32.915222	40
"Gene104"	27.961756	26.951813	25.968107	26.96067	25.938015	25.944176
"Gene105"	27.935545	29.960583	30.792486	29.931124	28.98542	28.95733
"Gene106"	27.96726	29.642807	27.874763	27.97417	27.908339	28.992918
"Gene107"	25.971645	30.828587	29.964586	26.97115	27.957067	29.689995
"Gene108"	26.859713	31.599377	27.952475	30.065681	35.650803	27.934116
"Gene109"	36.666386	40	25.94479	34.945942	31.932613	40
"Gene110"	35.95364	40	33.99734	40	40	40
"Gene111"	33.30585	36.947372	31.964151	33.271343	27.011175	35.956543
"Gene112"	24.90539	25.960543	25.958775	24.928516	23.94403	26.071531
"Gene113"	26.953617	27.763273	26.916136	26.934525	26.92472	26.930222
"Gene114"	26.972908	34.946392	27.93225	28.959951	29.92675	27.940435
"Gene115"	25.99409	27.927162	26.968649	26.950819	25.946594	27.958746
"Gene116"	24.976778	26.915466	25.861624	24.973711	25.991705	23.828718
"Gene117"	29.94199	26.953905	27.967176	37.251457	29.965466	29.945877
"Gene118"	25.988098	34.97742	33.984436	26.97003	30.999744	28.994333
"Gene119"	29.956749	36.952293	27.869871	40	32.815834	40
"Gene120"	26.696493	29.944628	29.987259	27.849333	27.90915	27.969353
"Gene121"	40	40	40	36.793873	40	40
"Gene122"	30.096285	36.672764	29.961485	32.966972	32.96869	36.042923
"Gene123"	25.698044	27.951443	24.803715	24.80663	25.769455	25.893137
"Gene124"	23.946796	26.949116	24.952116	25.97568	28.886381	26.925753
"Gene125"	26.926476	34.662235	33.91551	28.920244	33.931767	32.773262
"Gene126"	31.931133	33.88876	34.73283	34.923496	35.53386	35.94717
"Gene127"	26.983408	26.96238	30.970251	26.96706	30.984045	23.960459
"Gene128"	24.646832	28.860775	31.003632	25.526463	30.985043	23.929794
"Gene129"	29.938738	34.95731	30.961733	29.897684	30.985456	29.981031
"Gene130"	40	29.964802	28.933401	40	40	40
"Gene131"	40	40	30.119488	40	36.938637	34.939854
"Gene132"	36.9276	29.13109	34.46655	40	33.973667	35.249516
"Gene133"	28.95624	34.96235	28.94201	30.890165	29.959324	28.822607
"Gene134"	40	40	33.903774	40	40	40
"Gene135"	25.977028	40	34.96248	33.838852	26.966904	27.97256
"Gene136"	26.76525	30.017536	26.954256	28.920921	30.665207	28.745583
"Gene137"	25.67318	28.892365	26.951424	26.937428	26.93446	26.908285
"Gene138"	35.51463	40	40	40	40	36.9339
"Gene139"	35.956818	40	32.795403	35.96743	35.94814	32.27866
"Gene140"	27.963053	30.968946	29.857311	29.84334	28.926775	29.982918
"Gene141"	35.919838	34.93298	31.925491	35.910187	33.55012	30.590609
"Gene142"	25.916151	36.914272	33.77386	24.996748	28.946785	23.848
"Gene143"	31.745808	34.99601	34.597645	33.920948	35.9247	35.99017
"Gene120"	26.968956	29.983948	29.95102	27.976353	27.969574	27.962385
"Gene121"	40	40	40	36.903774	40	40
"Gene122"	29.950766	36.947437	29.956568	32.85094	32.898247	36.955788
"Gene123"	25.979158	27.978315	24.965408	24.974499	25.966738	25.969812
"Gene124"	23.955416	26.916521	24.97371	25.96535	28.959257	26.959051
"Gene125"	26.91801	34.096832	34.53322	28.919348	33.91308	32.933197
"Gene126"	31.944714	33.937595	34.939404	33.831562	35.9309	35.470062
"Gene127"	26.95847	26.921764	30.809345	26.826557	30.967133	23.961176
"Gene128"	24.996983	28.98527	30.952759	25.996452	30.762335	23.994642
"Gene129"	29.987717	35.97776	30.691227	29.967138	30.601006	29.849108
"Gene130"	36.965878	30.007078	28.735977	40	40	40
"Gene131"	36.955166	40	29.964355	40	35.42618	35.980587
"Gene132"	40	33.9953	34.958534	9.421335	33.63303	36.9493
"Gene133"	28.819426	36.949135	28.973364	30.967003	29.959969	28.961123
"Gene134"	40	40	33.983883	40	40	36.9559
"Gene135"	25.951303	29.900436	33.97663	33.9875	26.878885	27.85224
"Gene136"	26.943596	29.971794	26.97102	28.970812	30.946404	28.958525
"Gene137"	25.939905	28.934797	26.913242	26.926392	26.899149	26.95586
"Gene138"	36.960476	33.64955	36.94761	40	40	38.609886
"Gene139"	34.92103	40	32.958767	35.876587	40	37.17967
"Gene140"	27.97068	31.329613	29.957966	29.970171	28.9606	29.971245
"Gene141"	35.09345	33.906147	32.643993	35.692986	33.92993	30.916481
"Gene142"	25.813738	36.899025	33.937096	24.948736	28.89068	23.946367
"Gene143"	31.994287	34.914722	34.971626	33.998764	37.032627	35.85343
"Gene144"	25.762901	28.760433	28.880539	25.708786	26.840906	27.804476
"Gene145"	28.977013	28.985195	29.888094	28.849598	28.985525	27.978361
"Gene146"	27.952019	40	28.982046	36.955997	29.157045	28.994125
"Gene147"	35.339024	40	36.9648	35.96607	40	34.981777
"Gene148"	29.98586	33.961643	31.9546	29.771526	30.875072	29.942987
"Gene149"	34.995945	34.744987	33.989197	35.972275	31.990643	31.978811
"Gene150"	27.813807	40	32.087276	30.954088	28.705383	36.07256
"Gene151"	40	28.838324	29.933783	31.932072	30.971287	30.928272
"Gene152"	18.985924	24.883099	22.95622	20.987001	22.972881	19.770327
"Gene153"	35.366722	40	35.875076	40	36.893105	40
"Gene154"	25.93977	26.81875	26.893816	27.806946	26.868591	27.740704
"Gene155"	25.974459	27.983482	26.867668	26.904016	26.816553	27.827385
"Gene156"	29.974194	28.928028	27.929724	29.935257	27.90439	29.906868
"Gene157"	34.969944	36.94514	36.97792	40	40	40
"Gene158"	34.440166	40	40	40	40	33.764812
"Gene159"	26.857235	28.94064	27.984573	28.923874	27.768724	28.78575
"Gene160"	29.932003	40	35.293156	32.522343	40	36.911583
"Gene161"	21.491451	23.654308	25.95702	22.915125	24.73692	25.794014
"Gene162"	25.978952	25.945135	24.920982	24.912737	25.923529	27.011099
"Gene163"	26.765297	28.87785	27.985733	28.991446	28.963408	26.839687
"Gene164"	29.9436	34.000904	29.953026	36.93893	34.67117	27.81565
"Gene165"	29.976192	25.966179	23.966166	34.800236	34.22858	40
"Gene166"	29.91808	40	33.96274	30.945744	33.94389	29.73554
"Gene167"	25.777416	36.974518	40	25.988482	40	35.965717
"Gene144"	25.957548	28.954744	28.960094	25.973358	26.948986	27.977568
"Gene145"	28.992987	28.81275	29.97955	28.967339	28.867682	27.863132
"Gene146"	28.134895	40	28.809448	34.68309	28.965435	28.974302
"Gene147"	34.97635	40	36.991386	35.60465	40	34.879284
"Gene148"	29.855936	33.455074	31.839321	29.949823	31.00679	29.996346
"Gene149"	34.499897	36.971367	33.726376	35.985962	31.87306	31.9317
"Gene150"	27.983912	40	31.944216	30.935146	28.94617	36.972855
"Gene151"	40	28.93078	29.942442	31.551035	30.944424	30.917353
"Gene152"	18.966534	24.964417	22.964926	20.952538	23.000063	19.966555
"Gene153"	35.925644	40	35.930504	29.42175	40	40
"Gene154"	25.968603	26.933851	26.928425	27.937185	26.920383	27.947031
"Gene155"	25.929216	27.852856	26.943987	26.962416	26.956232	27.940044
"Gene156"	29.931782	28.903217	27.86952	29.918245	27.961393	29.777325
"Gene157"	34.907776	40	35.166367	40	40	40
"Gene158"	33.965897	40	40	36.963108	36.96026	36.946407
"Gene159"	26.967289	28.95839	27.967882	28.966118	27.965393	28.967434
"Gene160"	30.438147	40	35.917324	32.929752	40	35.923138
"Gene161"	21.922544	23.961422	25.958508	22.962805	24.969679	25.983309
"Gene162"	25.960289	26.003927	24.927252	24.915432	25.922262	26.90618
"Gene163"	26.991774	28.980322	27.928001	28.996157	28.884375	26.961102
"Gene164"	29.866152	33.364014	29.898134	36.804592	34.92755	27.96335
"Gene165"	29.974905	25.925821	23.899578	33.98174	33.96299	36.965523
"Gene166"	29.961748	35.934643	33.960423	30.764866	33.589085	29.963785
"Gene167"	25.978977	40	36.997604	25.952633	40	36.29637
"Gene168"	31.810358	31.944204	31.950787	36.76759	40	31.726637
"Gene169"	28.455498	29.822044	30.005999	28.033236	27.942379	28.780754
"Gene170"	23.973448	25.960636	24.015234	24.131529	23.98281	23.937311
"Gene171"	32.286453	35.985443	35.98431	34.456184	35.98252	37.039757
"Gene172"	27.953474	28.952732	27.95114	28.954811	27.944147	29.918041
"Gene173"	27.940687	32.216473	29.925348	27.952791	31.631048	27.943506
"Gene174"	23.981766	29.98576	27.88342	27.980906	32.69249	25.718443
"Gene175"	25.81633	25.965866	25.970764	25.926882	24.911873	23.887348
"Gene176"	26.8056	25.978357	22.938684	27.926125	25.877811	25.897114
"Gene177"	26.948538	28.928368	27.973185	27.979733	26.93249	25.90945
"Gene178"	30.681885	31.980503	31.938915	31.966322	32.304012	28.698748
"Gene179"	31.065685	34.139698	32.967876	31.80254	33.88368	29.945133
"Gene180"	35.297028	28.485308	36.95379	35.939938	33.94822	35.935116
"Gene181"	26.937708	27.978493	26.979012	25.987331	29.207315	27.96214
"Gene182"	26.951393	28.931318	27.971548	25.966175	26.957485	26.976698
"Gene183"	26.970243	26.972176	25.972551	26.95632	28.95565	27.953156
"Gene184"	34.53699	40	36.763817	33.33739	34.95471	32.94046
"Gene185"	27.976847	28.736938	27.814058	27.888626	27.927778	27.957314
"Gene186"	40	32.944088	33.15369	35.97961	34.60188	40
"Gene187"	24.82611	27.87266	25.939291	24.953808	24.924088	24.981054
"Gene188"	25.96002	28.89458	27.940248	25.950218	26.970394	26.899805
"Gene189"	33.547466	36.94684	35.948273	34.725925	37.001892	34.994484
"Gene190"	29.765814	28.94537	31.402954	31.15763	34.965935	30.959215
"Gene191"	29.967422	31.948208	29.965277	30.960814	30.947992	31.953814
"Gene168"	31.937868	31.925201	31.919643	36.93015	36.964676	31.94692
"Gene169"	28.96821	29.969193	29.79765	28.00987	28.004074	28.984198
"Gene170"	23.993597	25.975231	23.892775	23.930466	23.957026	23.700193
"Gene171"	31.963911	35.442772	34.823513	33.97931	34.918827	35.69913
"Gene172"	27.944136	28.856037	27.931244	28.934906	27.97522	29.922104
"Gene173"	27.836687	32.910168	29.966547	27.927061	31.929564	27.874218
"Gene174"	23.955626	29.984718	27.992542	27.981033	32.96448	25.993364
"Gene175"	25.965816	25.959036	25.95423	25.962307	24.955353	23.943094
"Gene176"	26.928879	25.950584	22.958189	27.931536	25.947458	25.94853
"Gene177"	26.980915	28.975119	27.849478	27.96183	26.981365	25.951788
"Gene178"	30.981281	31.777634	31.984411	31.802273	31.953135	28.972412
"Gene179"	30.959349	33.94519	32.89585	31.97089	36.948112	29.976578
"Gene180"	35.93554	30.057657	40	35.853325	33.940224	36.946926
"Gene181"	26.822826	27.787321	26.960423	25.935373	28.952353	27.893738
"Gene182"	26.972624	28.96093	27.978752	25.959654	26.93193	26.970337
"Gene183"	26.927185	26.940292	25.930765	26.893167	28.981215	28.016176
"Gene184"	33.957798	40	40	33.955875	34.7958	33.002483
"Gene185"	27.969732	28.962978	27.986086	27.956451	27.996561	27.921848
"Gene186"	36.927723	33.121685	32.953045	35.99223	33.92504	40
"Gene187"	24.958979	27.969885	25.929216	24.970715	24.931452	24.939035
"Gene188"	25.973259	28.958494	27.917164	25.98027	26.958267	26.949171
"Gene189"	33.96026	40	36.909885	36.98793	35.892357	35.963387
"Gene190"	29.965277	28.906652	30.961432	40	34.803963	30.816916
"Gene191"	29.962372	32.519363	29.918785	30.880337	30.931196	31.919838
